blcnum	condition_type	control	cue_attn	flashed	number_pressed	raw_RT	subjnum	timingcheck	trial_num	illusion	collapsed_conditions	Vcent	Vperiph_Af_center	Vperiph_Af_periph	V1A1_or_V2A2	V1A2	V2A1	Ac_type	ecc
1.0	37	0.0	0.0	2	2.0	0.7456299396572345	400.0	[1]	1	1	4	0	1	0	0	0	1	0	1
1.0	11	0.0	0.0	1	1.0	0.5657851150075001	400.0	[1]	2	1	1	1	0	0	1	0	0	0	0
1.0	28	0.0	0.0	2	1.0	0.5225113091198207	400.0	[1]	3	0	5	0	0	1	1	0	0	0	2
1.0	3	0.0	0.0	1	1.0	0.6786443563153594	400.0	[1]	4	1	6	0	0	1	0	1	0	0	2
1.0	25	0.0	0.0	1	1.0	0.7795340414591717	400.0	[1]	5	1	1	1	0	0	1	0	0	1	0
1.0	8	0.0	0.0	2	2.0	0.6248726492546975	400.0	[1]	8	1	3	0	1	0	1	0	0	1	1
1.0	17	0.0	0.0	2	2.0	0.8657354537894119	400.0	[1]	9	1	3	0	1	0	1	0	0	1	1
1.0	39	0.0	0.0	2	2.0	0.7927790476031046	400.0	[1]	10	1	6	0	0	1	0	0	1	0	2
1.0	21	0.0	0.0	2	1.0	0.5823793728813623	400.0	[1]	11	0	6	0	0	1	0	0	1	1	2
1.0	23	0.0	0.0	2	1.0	0.5821047519983008	400.0	[1]	12	0	4	0	1	0	0	0	1	1	1
1.0	46	0.0	0.0	1	1.0	0.5990657490113872	400.0	[1]	13	1	5	0	0	1	1	0	0	1	2
1.0	13	0.0	0.0	2	2.0	0.8541095189939792	400.0	[1]	14	1	1	1	0	0	1	0	0	1	0
1.0	29	0.0	0.0	1	1.0	0.5718630900831126	400.0	[1]	15	1	3	0	1	0	1	0	0	1	1
1.0	5	0.0	0.0	1	1.0	0.6163141693439652	400.0	[1]	16	1	2	1	0	0	0	1	0	0	0
1.0	14	0.0	0.0	1	1.0	0.5326784670579482	400.0	[1]	17	1	1	1	0	0	1	0	0	0	0
1.0	26	0.0	0.0	2	2.0	0.6046240911690998	400.0	[1]	18	1	1	1	0	0	1	0	0	0	0
1.0	38	0.0	0.0	1	1.0	0.48659297668852697	400.0	[1]	19	1	4	0	1	0	0	1	0	1	1
1.0	7	0.0	0.0	1	1.0	0.5119220174618558	400.0	[1]	20	1	3	0	1	0	1	0	0	0	1
1.0	9	0.0	0.0	1	1.0	0.6256372683169357	400.0	[1]	22	1	5	0	0	1	1	0	0	0	2
1.0	27	0.0	0.0	1	1.0	0.5342018520288289	400.0	[1]	23	1	5	0	0	1	1	0	0	1	2
